CustomerID,Items
531765,"['84077K', '22492E']"
131769,"['85123AY', '22197J', '84992D', '20668K', '21212D']"
31770,['22616B']
78219,['84568Z']
511785,"['21829T', '17003M']"
108189,['22197J']
171828,['84568Z']
530865,"['21787C', '22693N', '21212D', '22616B', '47566BG', '85099BJ', '16156SH', '84879M', '22710N', '22197J', '23232F', '22355U', '22629C', '21135E', '20668K', '21497K', '85123AY', '22630B', '21506J', '16161UB', '20724F', '22713C', '20719E', '21121C', '22551F', '84755J', '22178V', '22554P', '23233W', '21498M', '22659F', '71459J', '20723U', '22029R', '22985B', '20712E', '22174M', '22243L', '23230A', '21731V', '84946F', '85099FC', '22356T', '22951B', '21166I', '23431D', '21213V', '22386V', '22030B', '21871Y', '23203B', '22417M', '23204B', '84991R', '22045U', '21976M', '22908G', '23309L', '21499T', '22632O', '21500P', '23310X', '47566Y', '21069U', '22988D', '23268O', '22086O', '22661W', '22662G', '22759Z', '22666I', '22741O', '21181K', '22714G', '75049LA', '21980L', '16161PA', '23201S', '23076Z', '22382I', '21559P', '84945I', '84947R', '22302N', '20974J', '21877C', '84950I', '85099CQ', '22303W', '22326L', '21620I', '23206T', '21874B', '22558H', '22301J', '20728Z', '79321V', '22992G', '22245R', '22993E', '21326V', '22578A', '22998M', '82580N', '20727V', '82583N', '21891R', '20726C', '20725N', '22384W', '84988Y']"
269127,['84077K']
510885,['22197J']
189108,['22595D']
500895,['16045M']
100899,['21703M']
399096,['47566BG']
309087,['85175B']
380916,"['22197J', '21977R', '22151L', '23084M', '21137F', '23115D', '21212D', '21213V', '84991R', '22998M', '21982Y', '21975B', '21985C', '75049LA', '22355U', '23310X', '20724F', '23171H', '22178V', '22469S', '16045M', '20719E', '21900A', '84755J', '22920I', '84568Z', '71459J', '84978X', '23170S', '20723U', '22243L', '22130P', '21899D', '23077P', '22578A', '75131T', '85099BJ', '22065D', '79321V', '84946F', '22554P', '22470E', '22951B', '21902W', '84992D', '22910D', '21175V', '22086O', '22030B', '21731V', '23204B', '85099CQ', '22417M', '15036Z', '21790Y', '21791H', '23206T', '22577B', '22961C', '84212C', '22610S', '23230A', '21498M', '22740K', '21889K', '23176Z', '22966E', '21621T', '21733F', '21931F', '23199M', '23076Z', '23175H', '23174D', '23203B', '20971S', '84508AE', '22993E', '22996P', '21929W', '21976M', '22960K', '22356T', '23570W', '23374A', '23571G', '22560W', '22558H', '22666I', '22699D', '22741O', '21232B', '20712E', '21326V', '47566Y', '22489J', '22466O', '22952P', '22029R', '20728Z', '22411U', '20725N', '84945I', '22382I', '84970SL', '20726C', '22585G', '23201S', '23581R', '23205F', '21210C', '23209X', '23344R', '21385E', '21669G', '23275I', '23293D', '23245W', '23294M', '23301G', '23307D', '23232F', '21704M', '23231J', '23309L', '23321O', '23270T', '21500P', '21499T', '23298Q', '22667K', '23177K', '23157X', '22114V', '22771L', '22662G', '22661W', '22659F', '22266W', '22596T', '22593E', '22300C', '22301J', '22302N', '22303W', '22326L', '22556N', '22343N', '22530D', '22383K', '22384W', '22435K', '22084R', '22077P', '22867O', '23078Y', '23154P', '21810L', '21811V', '23144I', '23121M', '23114G', '21871Y', '21892U', '21916D', '22907C', '21918L', '21930O', '22992G', '22970T', '22969Z', '22944W', '22041A', '22908G', '21181K', '23166P', '84692Z', '84029EX', '20973S', '21080R', '21084K', '21166I', '79000Z', '21124F', '20974J', '20727V', '16161PA', '84949O', '20975Y', '21070F', '21122K', '20718A', '84378P', '84997BG', '85099FC', '20914Q', '21121C', '21068Y']"
219078,['22189I']
419076,"['84212C', '22189I', '15034D']"
370926,['84568Z']
129069,"['84077K', '23084M', '84879M', '22616B', '22355U', '20724F', '84347V', '72232C', '21620I', '21967J', '22178V', '20719E', '23204B', '22030B', '21098K', '23206T', '84755J', '20723U', '22356T', '85099BJ', '20725N', '21731V', '71459J', '20728Z', '20974J', '23203B', '22951B', '23209X', '22243L', '23310X', '79323BM', '23205F', '22554P', '23343M', '22991T', '22086O', '84946F', '21498M', '23077P', '23199M', '21121C', '62018W', '21931F', '22578A', '21918L', '84950I', '22564D', '21497K', '22741O', '22988D', '23121M', '16156SH', '23076Z', '22659F', '22383K', '22992G', '22577B', '22384W', '23215I', '22411U', '84947R', '23201S', '21422L', '21326V', '84978X', '47566Y', '21080R', '21790Y', '22710N', '20712E', '23268O', '23232F', '84029EX', '21479J', '79321V', '22561Z', '22610S', '22558H', '22728B', '21980L', '23309L', '23344R', '22493I', '21787C', '22029R', '21976M', '22326L', '22661W', '84692Z', '84945I', '20972O', '85099CQ', '20726C', '84970SL', '23288S', '21124F', '79000Z', '21499T', '21506J', '22908G', '22910D', '23078Y', '22727B', '22726C', '22993E', '22418R', '40016U', '22114V', '21810L', '35961N', '22712N', '21829T', '84997CQ', '22027K', '22985B', '21916D', '84997DC', '22417M', '20718A', '16161UB', '23122S', '23207R', '22595D', '22560W', '22556N', '21232B', '16161PA', '23200Y', '23307D', '21791H', '22440M', '20971S', '23300F', '23301G', '22961C', '22713C', '20727V', '23298Q', '23294M', '22467G', '22609U', '22489J', '22189I', '20975Y', '23119M', '22998M', '23355Z', '22077P', '22045U', '11001M', '21181K', '22804V', '21975B', '22983O', '21915K', '21930O', '23293D', '21928E', '21500P', '84949O', '23245W', '23233W', '21385E', '82583N', '22303W', '22302N', '23230A', '22301J', '23202Z', '22300C', '16237N', '22294U', '23285I', '22791E', '23286O', '23281Z', '22834J', '21166I', '21929W', '23240L', '22907C', '23231J', '21984W', '21068Y', '21066X', '23123F', '22386V', '21070F', '23243L', '21932M', '21936G', '22382I', '22608F', '22900U', '22333G', '23290W', '22579W', '22423U', '16008I', '85099FC', '22621P', '23321O', '22629C', '22130P', '22304I', '22491V', '22585G', '22652D', '22112V', '22551F', '85175B', '21871Y', '84970LF', '22771L', '21507E', '35970L', '22966E', '75049LA', '21672A', '21673M', '84988Y', '22969Z', '79030GK', '21136P', '21394I', '22740K', '21135E', '22962X', '21481J', '21390P', '84380W', '72741B', '21238G', '21122K', '22952P', '21430A', '22722E', '22699D', '22704P', '22720A', '21668N', '84997BG', '23581R', '21669G', '21509I', '21889K', '82600H', '21154F', '20677D', '20676O', '22338I', '22352Z', '23238P', '21495P', '84836J', '22348L', '82482D', '22331U', '23256O', '22729W', '84929V', '71477B', '85150Z', '21917S', '85152E', '20675E', '21240N', '22470E', '23168M', '22567D', '22898W', '23157X', '22549T', '21231K', '22553Q', '21218O', '22555O', '22772B', '22557Z', '84596BQ', '84596GP', '22466O', '23103F', '22573R', '21156K', '20668K', '21429E', '21559P', '23208E', '21395V', '82580N', '21314Q', '22457C', '84029GV', '21287D', '21169G', '15056ND', '85204U', '21242V', '82494LP', '51014AW', '51014CF', '22646J', '21811V', '35953W', '23351C', '23354R', '22970T', '21078I', '22087E', '23367M', '22084R', '22996P', '22867O', '22711H', '22075W', '22662G', '22041A', '22037V', '21875C', '20984B', '20992N', '22986P', '23582G', '22984H', '23571G', '23493H', '23570W', '21908X', '22697A', '21933N', '22979P', '37370Z', '22090X', '22614B', '47566BG', '47503AN', '21704M', '22129R', '21746N', '23296Z', '20829J', '23295P', '21671K', '22154A', '22144E', '21670S', '23319Q', '21094A', '22792D', '22191G', '22219N']"
460935,"['16156SH', '21497K', '22710N', '22713C', '23232F', '85099BJ', '21506J', '16161UB', '23233W', '85099FC', '22386V', '21874B', '22045U', '22029R', '21871Y', '22379G', '21498M', '22030B', '22759Z', '21877C', '21873C', '23117T', '71459J', '21069U', '22273M', '84946F', '21181K', '21108Z', '72741B', '20971S', '21703M', '22178V', '23230A', '23231J', '22791E', '22111I', '71477B', '79323BM', '22741O', '22637S', '22149E', '21495P', '16045M', '16161PA', '21499T', '21500P', '22865Y', '22507V', '18007N', '20668K', '22985B', '84947R', '84945I', '22834J']"
360936,"['85175B', '84077K']"
139059,"['85099BJ', '85099FC', '22386V', '20724F', '22355U', '22178V', '22759Z', '23199M', '22379G', '20719E', '23204B', '23206T', '23209X', '84946F', '20725N', '22030B', '20712E', '22470E', '85099CQ', '22961C', '22629C', '22469S', '21931F', '20728Z', '23205F', '22411U', '84947R', '22865Y', '21929W', '21121C', '20723U', '22727B', '22866X', '22554P', '21181K', '84755J', '23200Y', '22356T', '71459J', '71477B', '22243L', '21928E', '22383K', '22029R', '23203B', '22102P', '21137F', '22728B', '21733F', '22151L', '21731V', '22086O', '79321V', '23201S', '21080R', '23121M', '22384W', '20726C', '22610S', '23202Z', '22385P', '23344R', '22326L', '22423U', '22556N', '21703M', '22381J', '84945I', '22969Z', '22951B', '22791E', '22741O', '21620I', '84029EX', '22103E', '22440M', '47566Y', '22555O', '22993E', '23245W', '22633V', '22630B', '21232B', '22294U', '84929V', '20711L', '35961N', '23310X', '22616B', '22558H', '23231J', '21498M', '75049LA', '79323BM', '22659F', '22417M', '22908G', '21976M', '23170S', '20727V', '22457C', '21326V', '22661W', '23293D', '21509I', '22149E', '84978X', '22952P', '22467G', '21124F', '84997BG', '84997CQ', '85152E', '84949O', '48111G', '21385E', '22382I', '23122S', '22726C', '48116K', '21086B', '16156SH', '23281Z', '22985B', '16161PA', '20984B', '22041A', '21500P', '21094A', '23240L', '21497K', '22418R', '22027K', '21499T', '21507E', '23076Z', '23078Y', '22632O', '16216D', '84692Z', '22609U', '21930O', '90057R', '84997DC', '23294M', '22577B', '22551F', '22578A', '22557Z', '23497Q', '23077P', '22834J', '22804V', '84596GP', '21980L', '16237N', '22646J', '22910D', '22608F', '23171H', '21918L', '22652D', '84970SL', '21830E', '23307D', '22714G', '72741B', '22983O', '82482D', '22963K', '22712N', '23296Z', '22697A', '17096D', '23581R', '21672A', '22699D', '21790Y', '22142B', '21429E', '21166I', '23290W', '23232F', '23552T', '22352Z', '22651T', '23295P', '23355Z', '21390P', '21218O', '22101I', '21506J', '23498F', '21240N', '23208E', '85204U', '21238G', '22114V', '21156K', '21210C', '23123F', '20973S', '21981M', '21669G', '22710N', '22690X', '22729W', '22771L', '22692J', '22988D', '21668N', '22720A', '21975B', '22984H', '20961S', '22704P', '20668K', '22960K', '21936G', '21914B', '47566BG', '22460J', '23114G', '22959R', '84970LF', '23119M', '22666I', '23172Q', '23144I', '84997AH', '21810L', '21559P', '22662G', '23301G', '22716A', '23321O', '23309L', '22867O', '23182N', '21891R', '22617A', '22553Q', '22817Z', '21934D', '22907C', '22567D', '21932M', '21380E', '22579W', '23353X', '21917S', '22112V', '23298Q', '23289K', '22909Z', '21670S', '23174D', '22435K', '23207R', '22028K', '23115D', '21986A', '22631M', '23056D', '23230A', '21984W', '23233W', '21671K', '23297N', '22986P', '22698C', '21428B', '22084R', '23284M', '23286O', '23288S', '23175H', '21394I', '22962X', '22491V', '22087E', '22585G', '21078I', '20992N', '22348L', '51014CF', '21136P', '20676O', '37370Z', '22141S', '20718A', '22161W', '35970L', '22150K', '22130P', '82580N', '22367K', '84596BQ', '35610AZ', '82582N', '23546H', '20975Y', '84029GV', '23582G', '21122K', '22144E', '21231K', '15056ND', '47591DY', '48138T', '22131I', '15036Z', '85212R', '15056BLH', '22333G', '22338I', '20963G', '16169EL', '84375E', '22303W', '82600H', '48194E', '23134S', '23135J', '20972O', '22956D', '20971S', '22301J', '22077P', '21811V', '22923F', '22922K', '21818Q', '84212C', '23082N', '22966E', '22147L', '21644N', '22999A', '22997O', '21673M', '48187N', '22139Q', '22989L', '82494LP', '70006O', '23083I', '23055P', '51014AW', '23100G', '22083G', '22970T', '22090X', '21770E', '22900U', '85150Z', '22722E', '21935J', '21937S', '20675E', '22174M', '21987U', '22570W', '22024W', '22025A', '85123AY', '16259V', '22663L', '22219N', '22898W', '22645V', '16008I', '22037V', '22621P', '22620B', '22614B', '22613A', '10135P', '10133M', '22045U', '22047L', '22597M', '20685H', '22730Z', '21933N', '22734C', '84380W', '22153K', '22855Q', '21558V', '22851J', '20914Q', '21871Y', '22297H', '22835R', '22818I', '22296X', '22816Q', '21877C', '22812G', '21880B', '84536AK', '21881M', '21882L', '84568Z', '84596FA', '22154A', '22773H', '22772B', '22155O', '20750C', '22075W', '23103F', '23550P', '21519A', '21495P', '23243L', '23445C', '23173W', '22105F', '23187K', '21508L', '21481J', '23437J', '47503AN', '21242V', '23493H', '23431D', '21154F', '23300F', '23436I', '37340T', '21213V', '23319Q', '22095Q', '23545U', '23287L', '22331U', '21313C', '23551L', '22128V', '21314Q', '21174F', '23351C', '23318Z', '23285I', '23354R', '23583L', '23236J', '23322J']"
339057,['22693N']
150948,"['22197J', '84992D']"
149049,"['22102P', '22103E']"
340956,"['21213V', '21975B', '84991R', '22151L', '21977R', '84992D', '16045M', '21212D', '22952P', '22197J', '20724F', '22355U', '20719E', '22178V', '22998M', '22610S', '20723U', '22951B', '22693N', '22086O', '22961C', '22130P', '23310X', '22065D', '84347V', '23204B', '23270T', '84946F', '22909Z', '23378J', '22356T', '23206T', '22189I', '84755J', '20971S', '22243L', '22554P', '23077P', '84978X', '71459J', '20712E', '22029R', '20713F', '20728Z', '79321V', '22993E', '22920I', '23293D', '85099BJ', '22386V', '21181K', '22578A', '22969Z', '23203B', '84945I', '23171H', '23571G', '20725N', '23199M', '22910D', '23581R', '23076Z', '23232F', '23121M', '21703M', '21498M', '21497K', '21790Y', '22303W', '21976M', '16161PA', '21981M', '23309L', '21137F', '23321O', '22457C', '21232B', '22417M', '22577B', '22411U', '23344R', '23374A', '22328M', '23380Y', '22302N', '22558H', '22556N', '22609U', '23300F', '23570W', '23294M', '22030B', '23297N', '22741O', '21121C', '23245W', '23296Z', '23205F', '23233W', '21385E', '21326V', '21499T', '21500P', '23209X', '23376B', '23230A', '23301G', '23307D', '23295P', '22867O', '23170S', '22418R', '22666I', '22662G', '22661W', '22539E', '22489J', '22174M', '22466O', '22273M', '22714G', '22384W', '22383K', '22382I', '22379G', '22300C', '22301J', '22326L', '22094G', '22727B', '21591D', '22950F', '23154P', '22304I', '21731V', '23078Y', '22992G', '21810L', '22960K', '21889K', '22045U', '22908G', '21166I', '21928E', '21931F', '22791E', '22771L', '22027K', '23381G', '21669G', '47566Y', '21070F', '21154F', '20727V', '84970SL', '40016U', '17003M', '84029EX', '84692Z', '35961N', '21068Y', '16235A', '23582G', '71477B', '21066X', '16156SH', '21080R', '85152E', '85099CQ', '20726C']"
240957,['84077K']
459036,"['22151L', '85123AY', '84879M', '22595D', '21497K', '21135E', '22952P', '85099BJ', '22992G', '82583N', '23113X', '20974J', '16156SH', '22991T', '21137F', '22386V', '84950I', '21108Z', '23203B', '22578A', '22189I', '23232F', '22564D', '84755J', '22469S', '21326V', '22710N', '22178V', '71459J', '22045U', '23230A', '22493I', '22969Z', '79164C', '23201S', '23115D', '85099FC', '82580N', '82600H', '21166I', '22577B', '20724F', '21181K', '23215I', '22355U', '22030B', '21506J', '22950F', '22666I', '22713C', '84946F', '22561Z', '21498M', '22413V', '23207R', '47566Y', '84947R', '22759Z', '21500P', '22411U', '22961C', '22356T', '11001M', '85106U', '22960K', '22379G', '22610S', '22615Z', '22616B', '23298Q', '22384W', '23510V', '23233W', '23507E', '22741O', '21733F', '22086O', '23199M', '23076Z', '16161UB', '20712E', '20725N', '22029R', '84992D', '21981M', '22865Y', '22993E', '20719E', '22909Z', '21931F', '22470E', '22489J', '75049LA', '23170S', '84945I', '22910D', '84978X', '84836J']"
429966,['22189I']
229968,"['22151L', '21703M', '22492E']"
29970,"['17003M', '20713F']"
70029,['22151L']
370026,['20713F']
319977,['22151L']
119979,['20668K']
19980,"['22693N', '15036Z']"
380016,['17003M']
109989,['22151L']
399996,"['22197J', '22492E', '21915K', '22693N', '23084M', '23115D', '21137F', '22151L', '22102P', '85123AY', '16045M', '21982Y', '22103E', '75049LA', '22595D', '21985C', '85099BJ', '21891R', '75131T', '22086O', '21700U', '84988Y', '23203B', '21135E', '85099CQ', '23056D', '22961C', '22101I', '47566BG', '71459J', '21212D', '84755J', '84978X', '22536B', '79321V', '22560W', '22998M', '22030B', '82583N', '21931F', '21790Y', '21977R', '21731V', '22065D', '22666I', '47566Y', '22950F', '23202Z', '23201S', '23200Y', '23199M', '23170S', '23166P', '23077P', '23055P', '22910D', '22189I', '22740K', '22630B', '22382I', '22355U', '22304I', '22303W', '22301J', '22300C', '22302N', '22266W', '21070F', '20713F', '21498M', '85099FC', '21068Y', '20719E', '21166I', '23057O', '23310X', '22960K', '23344R', '85150Z', '22964E', '22966E', '22969Z', '22988D', '21066X', '20712E', '21181K', '20971S', '23326S', '22178V', '22174M', '22158K', '23076Z', '22558H', '22384W', '23117T', '22386V', '22667K', '22663L', '22662G', '23431D', '20726C', '22629C', '20724F', '20727V', '22593E', '22585G', '22584Q', '22771L', '22791E', '21621T', '22554P', '22507V', '20914Q', '20723U', '22417M', '22413V', '22411U', '20668K', '22993E', '21232B', '23171H', '82580N', '21929W', '84947R', '21928E', '82600H', '21914B', '84945I', '84378P', '21889K', '21874B', '21871Y', '21810L', '16161PA', '21704M', '84879M', '23206T', '23209X', '23245W', '23232F', '82484O', '84946F', '20725N', '84991R', '21326V', '22029R', '23298Q']"
99999,"['21982Y', '21985C', '22998M', '21967J', '22355U', '20724F', '21497K', '84347V', '16156SH', '20719E', '22469S', '71459J', '22710N', '84991R', '22951B', '84755J', '22178V', '23232F', '22489J', '22417M', '21213V', '21135E', '23230A', '21975B', '22470E', '22086O', '22029R', '22952P', '82583N', '23204B', '21166I', '23005J', '20723U', '23077P', '22356T', '22045U', '22554P', '21891R', '20712E', '21790Y', '84978X', '22030B', '22243L', '23206T', '84992D', '16161UB', '21498M', '21506J', '23171H', '82600H', '20728Z', '21121C', '82580N', '20971S', '21931F', '22491V', '21733F', '22273M', '22713C', '22578A', '22741O', '21108Z', '22969Z', '22130P', '20725N', '22560W', '22418R', '22382I', '84946F', '23293D', '22383K', '23233W', '84945I', '23199M', '21621T', '22384W', '21731V', '21124F', '23231J', '22411U', '22661W', '23076Z', '22610S', '21499T', '21326V', '84508AE', '22027K', '23121M', '22856A', '22585G', '47566Y', '21500P', '23378J', '21080R', '22326L', '22834J', '16161PA', '23205F', '85099BJ', '85099CQ', '84970SL', '23344R', '22910D', '21976M', '20726C', '23307D', '22158K', '21981M', '22558H', '23310X', '23167J', '22993E', '23294M', '21181K', '22343N', '22577B', '22556N', '22996P', '23209X', '79323BM', '79321V', '22386V', '23078Y', '23510V', '22114V', '21871Y', '21212D', '21206X', '21232B', '23507E', '21174F', '21509I', '21495P', '21558V', '21704M', '23301G', '23300F', '23295P', '23309L', '21669G', '22197J', '23200Y', '23321O', '21672A', '23157X', '23144I', '23380Y', '23281Z', '21385E', '23202Z', '22609U', '22147L', '22704P', '23268O', '23203B', '22631M', '23122S', '21668N', '22662G', '84949O', '22531M', '22346F', '22345K', '22466O', '84947R', '20676O', '22102P', '22344M', '84836J', '22771L', '22534C', '84692Z', '21928E', '21914B', '62018W', '21929W', '21930O', '72232C', '75049LA', '21983K', '20973S', '20727V', '20972O', '22908G', '22909Z', '18007N', '22467G', '84988Y', '35961N', '23581R', '23571G', '23570W', '21122K', '85175B', '22551F', '22103E', '22555O', '22804V', '84997BG']"
160038,['17003M']
349947,"['84879M', '21175V', '22595D', '21212D', '85123AY', '85099BJ', '22952P', '84950I', '85099FC', '22189I', '22386V', '22759Z', '22909Z', '22950F', '84946F', '22379G', '23203B', '23215I', '22578A', '21731V', '22865Y', '22551F', '22629C', '22493I', '22630B', '22178V', '22564D', '22130P', '23378J', '22961C', '23343M', '22086O', '22991T', '22992G', '20974J', '22910D', '22615Z', '22577B', '22561Z', '23344R', '22866X', '23077P', '23201S', '22191G', '23207R', '23268O', '11001M', '22355U', '23298Q', '21703M', '84978X', '21326V', '21121C', '85099CQ', '20719E', '21791H', '84755J', '21790Y', '21181K', '20724F']"
